"Input","Match.type","Approved.symbol","Approved.name","HGNC.ID","Location"
"12067","NPY5R","Approved symbol","NPY5R","neuropeptide Y receptor Y5","HGNC:7958","4q32.2"
"12068","NPY6R","Approved symbol","NPY6R","neuropeptide Y receptor Y6 (pseudogene)","HGNC:7959","5q31.2"
"12069","NQO1","Approved symbol","NQO1","NAD(P)H quinone dehydrogenase 1","HGNC:2874","16q22.1"
"12070","NQO2","Approved symbol","NQO2","N-ribosyldihydronicotinamide:quinone reductase 2","HGNC:7856","6p25.2"
"12071","NR0B1","Approved symbol","NR0B1","nuclear receptor subfamily 0 group B member 1","HGNC:7960","Xp21.2"
"12072","NR0B2","Approved symbol","NR0B2","nuclear receptor subfamily 0 group B member 2","HGNC:7961","1p36.11"
"12073","NR1D1","Approved symbol","NR1D1","nuclear receptor subfamily 1 group D member 1","HGNC:7962","17q21.1"
"12074","NR1D2","Approved symbol","NR1D2","nuclear receptor subfamily 1 group D member 2","HGNC:7963","3p24.2"
"12075","NR1H2","Approved symbol","NR1H2","nuclear receptor subfamily 1 group H member 2","HGNC:7965","19q13.3"
"12076","NR1H3","Approved symbol","NR1H3","nuclear receptor subfamily 1 group H member 3","HGNC:7966","11p11.2"
"12077","NR1H4","Approved symbol","NR1H4","nuclear receptor subfamily 1 group H member 4","HGNC:7967","12q23.1"
"12078","NR1I2","Approved symbol","NR1I2","nuclear receptor subfamily 1 group I member 2","HGNC:7968","3q13.33"
"12079","NR1I3","Approved symbol","NR1I3","nuclear receptor subfamily 1 group I member 3","HGNC:7969","1q23.3"
"12080","NR2C1","Approved symbol","NR2C1","nuclear receptor subfamily 2 group C member 1","HGNC:7971","12q22"
"12081","NR2C2","Approved symbol","NR2C2","nuclear receptor subfamily 2 group C member 2","HGNC:7972","3p25.1"
"12082","NR2C2AP","Approved symbol","NR2C2AP","nuclear receptor 2C2 associated protein","HGNC:30763","19p13.11"
"12083","NR2E1","Approved symbol","NR2E1","nuclear receptor subfamily 2 group E member 1","HGNC:7973","6q21"
"12084","NR2E3","Approved symbol","NR2E3","nuclear receptor subfamily 2 group E member 3","HGNC:7974","15q23"
"12085","NR2F1","Approved symbol","NR2F1","nuclear receptor subfamily 2 group F member 1","HGNC:7975","5q15"
"12086","NR2F1-AS1","Approved symbol","NR2F1-AS1","NR2F1 antisense RNA 1","HGNC:48622","5q15"
"12087","NR2F2","Approved symbol","NR2F2","nuclear receptor subfamily 2 group F member 2","HGNC:7976","15q26.2"
"12088","NR2F6","Approved symbol","NR2F6","nuclear receptor subfamily 2 group F member 6","HGNC:7977","19p13.11"
"12089","NR3C1","Approved symbol","NR3C1","nuclear receptor subfamily 3 group C member 1","HGNC:7978","5q31.3"
"12090","NR3C2","Approved symbol","NR3C2","nuclear receptor subfamily 3 group C member 2","HGNC:7979","4q31"
"12091","NR4A1","Approved symbol","NR4A1","nuclear receptor subfamily 4 group A member 1","HGNC:7980","12q13.13"
"12092","NR4A2","Approved symbol","NR4A2","nuclear receptor subfamily 4 group A member 2","HGNC:7981","2q22-q23"
"12093","NR4A3","Approved symbol","NR4A3","nuclear receptor subfamily 4 group A member 3","HGNC:7982","9q22"
"12094","NR5A1","Approved symbol","NR5A1","nuclear receptor subfamily 5 group A member 1","HGNC:7983","9q33.3"
"12095","NR5A2","Approved symbol","NR5A2","nuclear receptor subfamily 5 group A member 2","HGNC:7984","1q32.1"
"12096","NR6A1","Approved symbol","NR6A1","nuclear receptor subfamily 6 group A member 1","HGNC:7985","9q33.3"
"12099","NRARP","Approved symbol","NRARP","NOTCH regulated ankyrin repeat protein","HGNC:33843","9q34.3"
"12100","NRAS","Approved symbol","NRAS","NRAS proto-oncogene, GTPase","HGNC:7989","1p13.2"
"12101","NRAV","Approved symbol","NRAV","negative regulator of antiviral response","HGNC:48588","12q24.31"
"12102","NRBF2","Approved symbol","NRBF2","nuclear receptor binding factor 2","HGNC:19692","10q21.3"
"12103","NRBP1","Approved symbol","NRBP1","nuclear receptor binding protein 1","HGNC:7993","2p23.3"
"12104","NRBP2","Approved symbol","NRBP2","nuclear receptor binding protein 2","HGNC:19339","8q24.3"
"12105","NRCAM","Approved symbol","NRCAM","neuronal cell adhesion molecule","HGNC:7994","7q31.1"
"12106","NRDC","Approved symbol","NRDC","nardilysin convertase","HGNC:7995","1p32.3"
"12107","NRDE2","Approved symbol","NRDE2","NRDE-2, necessary for RNA interference, domain containing","HGNC:20186","14q32.11"
"12108","NREP","Approved symbol","NREP","neuronal regeneration related protein","HGNC:16834","5q22.1"
"12111","NRG1","Approved symbol","NRG1","neuregulin 1","HGNC:7997","8p12"
"12112","NRG2","Approved symbol","NRG2","neuregulin 2","HGNC:7998","5q31.2"
"12113","NRG3","Approved symbol","NRG3","neuregulin 3","HGNC:7999","10q23.1"
"12114","NRG4","Approved symbol","NRG4","neuregulin 4","HGNC:29862","15q24.2"
"12115","NRGN","Approved symbol","NRGN","neurogranin","HGNC:8000","11q24.2"
"12116","NRIP1","Approved symbol","NRIP1","nuclear receptor interacting protein 1","HGNC:8001","21q11.2-q21.1"
"12117","NRIP2","Approved symbol","NRIP2","nuclear receptor interacting protein 2","HGNC:23078","12p13.33"
"12118","NRIP3","Approved symbol","NRIP3","nuclear receptor interacting protein 3","HGNC:1167","11p15.4"
"12119","NRK","Approved symbol","NRK","Nik related kinase","HGNC:25391","Xq22.3"
"12120","NRL","Approved symbol","NRL","neural retina leucine zipper","HGNC:8002","14q11.2-q12"
"12121","NRM","Approved symbol","NRM","nurim","HGNC:8003","6p21.33"
"12122","NRN1","Approved symbol","NRN1","neuritin 1","HGNC:17972","6p25.1"
"12123","NRP1","Approved symbol","NRP1","neuropilin 1","HGNC:8004","10p11.22"
"12126","NRROS","Approved symbol","NRROS","negative regulator of reactive oxygen species","HGNC:24613","3q29"
"12127","NRSN1","Approved symbol","NRSN1","neurensin 1","HGNC:17881","6p22.3"
"12128","NRSN2","Approved symbol","NRSN2","neurensin 2","HGNC:16229","20p13"
"12129","NRSN2-AS1","Approved symbol","NRSN2-AS1","NRSN2 antisense RNA 1","HGNC:51222","20p13"
"12130","NRTN","Approved symbol","NRTN","neurturin","HGNC:8007","19p13.3"
"12131","NRXN1","Approved symbol","NRXN1","neurexin 1","HGNC:8008","2p16.3"
"12132","NRXN2","Approved symbol","NRXN2","neurexin 2","HGNC:8009","11q13.1"
"12133","NRXN3","Approved symbol","NRXN3","neurexin 3","HGNC:8010","14q24.3-q31.1"
"12134","NSD1","Approved symbol","NSD1","nuclear receptor binding SET domain protein 1","HGNC:14234","5q35.3"
"12135","NSD2","Approved symbol","NSD2","nuclear receptor binding SET domain protein 2","HGNC:12766","4p16.3"
"12136","NSD3","Approved symbol","NSD3","nuclear receptor binding SET domain protein 3","HGNC:12767","8p11.23"
"12137","NSDHL","Approved symbol","NSDHL","NAD(P) dependent steroid dehydrogenase-like","HGNC:13398","Xq28"
"12138","NSF","Approved symbol","NSF","N-ethylmaleimide sensitive factor, vesicle fusing ATPase","HGNC:8016","17q21.31"
"12139","NSFL1C","Approved symbol","NSFL1C","NSFL1 cofactor","HGNC:15912","20p13"
"12140","NSG1","Approved symbol","NSG1","neuronal vesicle trafficking associated 1","HGNC:18790","4p16.3"
"12145","NSMAF","Approved symbol","NSMAF","neutral sphingomyelinase activation associated factor","HGNC:8017","8q12.1"
"12146","NSMCE1","Approved symbol","NSMCE1","NSE1 homolog, SMC5-SMC6 complex component","HGNC:29897","16p12.1"
"12147","NSMCE2","Approved symbol","NSMCE2","NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase","HGNC:26513","8q24.13"
"12148","NSMCE3","Approved symbol","NSMCE3","NSE3 homolog, SMC5-SMC6 complex component","HGNC:7677","15q13.1"
"12149","NSMCE4A","Approved symbol","NSMCE4A","NSE4 homolog A, SMC5-SMC6 complex component","HGNC:25935","10q26.13"
"12150","NSMF","Approved symbol","NSMF","NMDA receptor synaptonuclear signaling and neuronal migration factor","HGNC:29843","9q34.3"
"12151","NSRP1","Approved symbol","NSRP1","nuclear speckle splicing regulatory protein 1","HGNC:25305","17q11.2"
"12152","NSUN2","Approved symbol","NSUN2","NOP2/Sun RNA methyltransferase 2","HGNC:25994","5p15.31"
"12153","NSUN3","Approved symbol","NSUN3","NOP2/Sun RNA methyltransferase 3","HGNC:26208","3q11.2"
"12154","NSUN4","Approved symbol","NSUN4","NOP2/Sun RNA methyltransferase 4","HGNC:31802","1p33"
"12155","NSUN5","Approved symbol","NSUN5","NOP2/Sun RNA methyltransferase 5","HGNC:16385","7q11.23"
"12156","NSUN5P1","Approved symbol","NSUN5P1","NSUN5 pseudogene 1","HGNC:19146","7q11.23"
"12157","NSUN6","Approved symbol","NSUN6","NOP2/Sun RNA methyltransferase 6","HGNC:23529","10p12.31"
"12158","NSUN7","Approved symbol","NSUN7","NOP2/Sun RNA methyltransferase family member 7","HGNC:25857","4p14"
"12159","NT5C","Approved symbol","NT5C","5', 3'-nucleotidase, cytosolic","HGNC:17144","17q25"
"12160","NT5C1A","Approved symbol","NT5C1A","5'-nucleotidase, cytosolic IA","HGNC:17819","1p34.2"
"12161","NT5C1B","Approved symbol","NT5C1B","5'-nucleotidase, cytosolic IB","HGNC:17818","2p24.2"
"12162","NT5C2","Approved symbol","NT5C2","5'-nucleotidase, cytosolic II","HGNC:8022","10q24.32-q24.33"
"12163","NT5C3A","Approved symbol","NT5C3A","5'-nucleotidase, cytosolic IIIA","HGNC:17820","7p14.3"
"12164","NT5C3B","Approved symbol","NT5C3B","5'-nucleotidase, cytosolic IIIB","HGNC:28300","17q21.2"
"12165","NT5DC1","Approved symbol","NT5DC1","5'-nucleotidase domain containing 1","HGNC:21556","6q22.1"
"12166","NT5DC2","Approved symbol","NT5DC2","5'-nucleotidase domain containing 2","HGNC:25717","3p21.1"
"12167","NT5DC3","Approved symbol","NT5DC3","5'-nucleotidase domain containing 3","HGNC:30826","12q23.3"
"12168","NT5E","Approved symbol","NT5E","5'-nucleotidase ecto","HGNC:8021","6q14.3"
"12169","NT5M","Approved symbol","NT5M","5',3'-nucleotidase, mitochondrial","HGNC:15769","17p11.2"
"12170","NTAN1","Approved symbol","NTAN1","N-terminal asparagine amidase","HGNC:29909","16p13.11"
"12171","NTF3","Approved symbol","NTF3","neurotrophin 3","HGNC:8023","12p13.31"
"12172","NTF4","Approved symbol","NTF4","neurotrophin 4","HGNC:8024","19q13.33"
"12173","NTHL1","Approved symbol","NTHL1","nth like DNA glycosylase 1","HGNC:8028","16p13.3"
"12174","NTM","Approved symbol","NTM","neurotrimin","HGNC:17941","11q25"
"12175","NTMT1","Approved symbol","NTMT1","N-terminal Xaa-Pro-Lys N-methyltransferase 1","HGNC:23373","9q34.11"
"12176","NTN1","Approved symbol","NTN1","netrin 1","HGNC:8029","17p13.1"
"12177","NTN3","Approved symbol","NTN3","netrin 3","HGNC:8030","16p13.3"
"12180","NTN5","Approved symbol","NTN5","netrin 5","HGNC:25208","19q13.33"
"12181","NTNG1","Approved symbol","NTNG1","netrin G1","HGNC:23319","1p13.3"
"12182","NTNG1","Previous symbol","NTNG2","netrin G2","HGNC:14288","9q34.13"
"12183","NTNG2","Approved symbol","NTNG2","netrin G2","HGNC:14288","9q34.13"
"12184","NTPCR","Approved symbol","NTPCR","nucleoside-triphosphatase, cancer-related","HGNC:28204","1q42.2"
"12185","NTRK1","Approved symbol","NTRK1","neurotrophic receptor tyrosine kinase 1","HGNC:8031","1q23.1"
"12186","NTRK2","Approved symbol","NTRK2","neurotrophic receptor tyrosine kinase 2","HGNC:8032","9q21.33"
"12187","NTRK3","Approved symbol","NTRK3","neurotrophic receptor tyrosine kinase 3","HGNC:8033","15q25.3"
"12188","NTRK3-AS1","Approved symbol","NTRK3-AS1","NTRK3 antisense RNA 1","HGNC:27532","15q25.3"
"12189","NTS","Approved symbol","NTS","neurotensin","HGNC:8038","12q21.31"
"12190","NTSR1","Approved symbol","NTSR1","neurotensin receptor 1","HGNC:8039","20q13.33"
"12191","NTSR2","Approved symbol","NTSR2","neurotensin receptor 2","HGNC:8040","2p25.1"
"12194","NUAK2","Approved symbol","NUAK2","NUAK family kinase 2","HGNC:29558","1q32.1"
"12195","NUB1","Approved symbol","NUB1","negative regulator of ubiquitin like proteins 1","HGNC:17623","7q36.1"
"12196","NUBP1","Approved symbol","NUBP1","nucleotide binding protein 1","HGNC:8041","16p13.13"
"12197","NUBP2","Approved symbol","NUBP2","nucleotide binding protein 2","HGNC:8042","16p13.3"
"12198","NUBPL","Approved symbol","NUBPL","nucleotide binding protein like","HGNC:20278","14q12"
"12199","NUCB1","Approved symbol","NUCB1","nucleobindin 1","HGNC:8043","19q13.33"
"12200","NUCB2","Approved symbol","NUCB2","nucleobindin 2","HGNC:8044","11p15.1"
"12201","NUCKS1","Approved symbol","NUCKS1","nuclear casein kinase and cyclin dependent kinase substrate 1","HGNC:29923","1q32.1"
"12204","NUDCD1","Approved symbol","NUDCD1","NudC domain containing 1","HGNC:24306","8q23.1"
"12205","NUDCD2","Approved symbol","NUDCD2","NudC domain containing 2","HGNC:30535","5q34"
"12206","NUDCD3","Approved symbol","NUDCD3","NudC domain containing 3","HGNC:22208","7p13"
"12207","NUDT1","Approved symbol","NUDT1","nudix hydrolase 1","HGNC:8048","7p22.3"
"12208","NUDT10","Approved symbol","NUDT10","nudix hydrolase 10","HGNC:17621","Xp11.22"
"12209","NUDT11","Approved symbol","NUDT11","nudix hydrolase 11","HGNC:18011","Xp11.22"
"12210","NUDT12","Approved symbol","NUDT12","nudix hydrolase 12","HGNC:18826","5q21.2"
"12211","NUDT13","Approved symbol","NUDT13","nudix hydrolase 13","HGNC:18827","10q22.2"
"12212","NUDT14","Approved symbol","NUDT14","nudix hydrolase 14","HGNC:20141","14q32.33"
"12213","NUDT15","Approved symbol","NUDT15","nudix hydrolase 15","HGNC:23063","13q14.2"
"12214","NUDT16","Approved symbol","NUDT16","nudix hydrolase 16","HGNC:26442","3q22.1"
"12215","NUDT16L1","Approved symbol","NUDT16L1","nudix hydrolase 16 like 1","HGNC:28154","16p13.3"
"12216","NUDT16P1","Approved symbol","NUDT16P1","nudix hydrolase 16 pseudogene 1","HGNC:27189","3q22.1"
"12217","NUDT17","Approved symbol","NUDT17","nudix hydrolase 17","HGNC:26618","1q21.1"
"12218","NUDT18","Approved symbol","NUDT18","nudix hydrolase 18","HGNC:26194","8p21.3"
"12219","NUDT19","Approved symbol","NUDT19","nudix hydrolase 19","HGNC:32036","19q13.11"
"12220","NUDT2","Approved symbol","NUDT2","nudix hydrolase 2","HGNC:8049","9p13.3"
"12221","NUDT21","Approved symbol","NUDT21","nudix hydrolase 21","HGNC:13870","16q13"
"12222","NUDT22","Approved symbol","NUDT22","nudix hydrolase 22","HGNC:28189","11q13.1"
"12223","NUDT4","Approved symbol","NUDT4","nudix hydrolase 4","HGNC:8051","12q22"
"12224","NUDT5","Approved symbol","NUDT5","nudix hydrolase 5","HGNC:8052","10p14"
"12225","NUDT6","Approved symbol","NUDT6","nudix hydrolase 6","HGNC:8053","4q28.1"
"12226","NUDT7","Approved symbol","NUDT7","nudix hydrolase 7","HGNC:8054","16q23.1"
"12227","NUDT9","Approved symbol","NUDT9","nudix hydrolase 9","HGNC:8056","4q22.1"
"12228","NUDT9P1","Approved symbol","NUDT9P1","nudix hydrolase 9 pseudogene 1","HGNC:28523","10q23.32"
"12229","NUF2","Approved symbol","NUF2","NUF2 component of NDC80 kinetochore complex","HGNC:14621","1q23.3"
"12230","NUFIP1","Approved symbol","NUFIP1","nuclear FMR1 interacting protein 1","HGNC:8057","13q14.12"
"12231","NUFIP2","Approved symbol","NUFIP2","nuclear FMR1 interacting protein 2","HGNC:17634","17q11.2"
"12232","NUMA1","Approved symbol","NUMA1","nuclear mitotic apparatus protein 1","HGNC:8059","11q13.4"
"12233","NUMB","Approved symbol","NUMB","NUMB endocytic adaptor protein","HGNC:8060","14q24.3"
"12234","NUMBL","Approved symbol","NUMBL","NUMB like endocytic adaptor protein","HGNC:8061","19q13.2"
"12235","NUP107","Approved symbol","NUP107","nucleoporin 107","HGNC:29914","12q15"
"12236","NUP133","Approved symbol","NUP133","nucleoporin 133","HGNC:18016","1q42.13"
"12237","NUP153","Approved symbol","NUP153","nucleoporin 153","HGNC:8062","6p22.3"
"12238","NUP155","Approved symbol","NUP155","nucleoporin 155","HGNC:8063","5p13.2"
"12239","NUP160","Approved symbol","NUP160","nucleoporin 160","HGNC:18017","11p11.2"
"12240","NUP188","Approved symbol","NUP188","nucleoporin 188","HGNC:17859","9q34.11"
"12241","NUP205","Approved symbol","NUP205","nucleoporin 205","HGNC:18658","7q33"
"12242","NUP210","Approved symbol","NUP210","nucleoporin 210","HGNC:30052","3p25.1"
"12243","NUP210L","Approved symbol","NUP210L","nucleoporin 210 like","HGNC:29915","1q21.3"
"12244","NUP210P1","Approved symbol","NUP210P1","nucleoporin 210 pseudogene 1","HGNC:27399","3q21.3"
"12245","NUP214","Approved symbol","NUP214","nucleoporin 214","HGNC:8064","9q34.13"
"12246","NUP35","Approved symbol","NUP35","nucleoporin 35","HGNC:29797","2q32.1"
"12247","NUP37","Approved symbol","NUP37","nucleoporin 37","HGNC:29929","12q23.2"
"12248","NUP43","Approved symbol","NUP43","nucleoporin 43","HGNC:21182","6q25.1"
"12249","NUP50","Approved symbol","NUP50","nucleoporin 50","HGNC:8065","22q13.31"
"12250","NUP50-DT","Approved symbol","NUP50-DT","NUP50 divergent transcript","HGNC:50502","22q13.31"
"12251","NUP54","Approved symbol","NUP54","nucleoporin 54","HGNC:17359","4q21.1"
"12252","NUP58","Approved symbol","NUP58","nucleoporin 58","HGNC:20261","13q12.13"
"12253","NUP62","Approved symbol","NUP62","nucleoporin 62","HGNC:8066","19q13.33"
"12254","NUP62CL","Approved symbol","NUP62CL","nucleoporin 62 C-terminal like","HGNC:25960","Xq22.3"
"12255","NUP85","Approved symbol","NUP85","nucleoporin 85","HGNC:8734","17q25"
"12256","NUP88","Approved symbol","NUP88","nucleoporin 88","HGNC:8067","17p13.2"
"12257","NUP93","Approved symbol","NUP93","nucleoporin 93","HGNC:28958","16q13"
"12258","NUP98","Approved symbol","NUP98","nucleoporin 98 and 96 precursor","HGNC:8068","11p15.4"
"12259","NUPL2","Previous symbol","NUP42","nucleoporin 42","HGNC:17010","7p15.3"
"12260","NUPR1","Approved symbol","NUPR1","nuclear protein 1, transcriptional regulator","HGNC:29990","16p11.2"
"12263","NUTF2","Approved symbol","NUTF2","nuclear transport factor 2","HGNC:13722","16q22.1"
"12264","NUTM1","Approved symbol","NUTM1","NUT midline carcinoma family member 1","HGNC:29919","15q14"
"12265","NVL","Approved symbol","NVL","nuclear VCP like","HGNC:8070","1q42.11"
"12266","NWD2","Approved symbol","NWD2","NACHT and WD repeat domain containing 2","HGNC:29229","4p14"
"12267","NXF1","Approved symbol","NXF1","nuclear RNA export factor 1","HGNC:8071","11q12.3"
"12268","NXF3","Approved symbol","NXF3","nuclear RNA export factor 3","HGNC:8073","Xq22.1"
"12269","NXF5","Approved symbol","NXF5","nuclear RNA export factor 5","HGNC:8075","Xq22.1"
"12270","NXN","Approved symbol","NXN","nucleoredoxin","HGNC:18008","17p13.3"
"12271","NXNL1","Approved symbol","NXNL1","nucleoredoxin like 1","HGNC:25179","19p13.11"
"12272","NXNL2","Approved symbol","NXNL2","nucleoredoxin like 2","HGNC:30482","9q22.1"
"12273","NXPE1","Approved symbol","NXPE1","neurexophilin and PC-esterase domain family member 1","HGNC:28527","11q23.2"
"12274","NXPE3","Approved symbol","NXPE3","neurexophilin and PC-esterase domain family member 3","HGNC:28238","3q12.3"
"12275","NXPE4","Approved symbol","NXPE4","neurexophilin and PC-esterase domain family member 4","HGNC:23117","11q23.2"
"12276","NXPH1","Approved symbol","NXPH1","neurexophilin 1","HGNC:20693","7p21.3"
"12277","NXPH2","Approved symbol","NXPH2","neurexophilin 2","HGNC:8076","2q22.1"
"12278","NXPH3","Approved symbol","NXPH3","neurexophilin 3","HGNC:8077","17q21.33"
"12279","NXPH4","Approved symbol","NXPH4","neurexophilin 4","HGNC:8078","12q13.3"
"12280","NXT1","Approved symbol","NXT1","nuclear transport factor 2 like export factor 1","HGNC:15913","20p11.21"
"12281","NXT2","Approved symbol","NXT2","nuclear transport factor 2 like export factor 2","HGNC:18151","Xq23"
"12282","NYAP1","Approved symbol","NYAP1","neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1","HGNC:22009","7q22.1"
"12283","NYAP2","Approved symbol","NYAP2","neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2","HGNC:29291","2q36.3"
"12284","NYNRIN","Approved symbol","NYNRIN","NYN domain and retroviral integrase containing","HGNC:20165","14q12"
"12285","NYX","Approved symbol","NYX","nyctalopin","HGNC:8082","Xp11.4"
"12286","OAF","Approved symbol","OAF","out at first homolog","HGNC:28752","11q23.3"
"12287","OARD1","Approved symbol","OARD1","O-acyl-ADP-ribose deacylase 1","HGNC:21257","6p21.1"
"12288","OAS1","Approved symbol","OAS1","2'-5'-oligoadenylate synthetase 1","HGNC:8086","12q24.13"
"12289","OAS2","Approved symbol","OAS2","2'-5'-oligoadenylate synthetase 2","HGNC:8087","12q24.13"
"12290","OAS3","Approved symbol","OAS3","2'-5'-oligoadenylate synthetase 3","HGNC:8088","12q24.13"
"12291","OASL","Approved symbol","OASL","2'-5'-oligoadenylate synthetase like","HGNC:8090","12q24.31"
"12292","OAT","Approved symbol","OAT","ornithine aminotransferase","HGNC:8091","10q26.13"
"12293","OAZ1","Approved symbol","OAZ1","ornithine decarboxylase antizyme 1","HGNC:8095","19p13.3"
"12294","OAZ2","Approved symbol","OAZ2","ornithine decarboxylase antizyme 2","HGNC:8096","15q22.31"
"12295","OAZ3","Approved symbol","OAZ3","ornithine decarboxylase antizyme 3","HGNC:8097","1q21.3"
"12296","OBP2A","Approved symbol","OBP2A","odorant binding protein 2A","HGNC:23380","9q34.3"
"12297","OBP2B","Approved symbol","OBP2B","odorant binding protein 2B","HGNC:23381","9q34.2"
"12298","OBSCN","Approved symbol","OBSCN","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","HGNC:15719","1q42.13"
"12299","OBSCN-AS1","Approved symbol","OBSCN-AS1","OBSCN antisense RNA 1","HGNC:32047","1q42.13"
"12300","OBSL1","Approved symbol","OBSL1","obscurin like cytoskeletal adaptor 1","HGNC:29092","2q35"
"12301","OCA2","Approved symbol","OCA2","OCA2 melanosomal transmembrane protein","HGNC:8101","15q12-q13.1"
"12302","OCEL1","Approved symbol","OCEL1","occludin/ELL domain containing 1","HGNC:26221","19p13.11"
"12303","OCIAD1","Approved symbol","OCIAD1","OCIA domain containing 1","HGNC:16074","4p11"
"12304","OCIAD2","Approved symbol","OCIAD2","OCIA domain containing 2","HGNC:28685","4p11"
"12305","OCLM","Approved symbol","OCLM","oculomedin","HGNC:8103","1q31.1"
"12306","OCRL","Approved symbol","OCRL","OCRL inositol polyphosphate-5-phosphatase","HGNC:8108","Xq26.1"
"12307","ODAM","Approved symbol","ODAM","odontogenic, ameloblast associated","HGNC:26043","4q13.3"
"12308","ODAPH","Approved symbol","ODAPH","odontogenesis associated phosphoprotein","HGNC:26300","4q21.1"
"12311","ODF1","Approved symbol","ODF1","outer dense fiber of sperm tails 1","HGNC:8113","8q22.3"
"12312","ODF2","Approved symbol","ODF2","outer dense fiber of sperm tails 2","HGNC:8114","9q34.11"
"12313","ODF2L","Approved symbol","ODF2L","outer dense fiber of sperm tails 2 like","HGNC:29225","1p22.3"
"12314","ODF3","Approved symbol","ODF3","outer dense fiber of sperm tails 3","HGNC:19905","11p15.5"
"12315","ODF3B","Approved symbol","ODF3B","outer dense fiber of sperm tails 3B","HGNC:34388","22q13.33"
"12316","ODF3L1","Approved symbol","ODF3L1","outer dense fiber of sperm tails 3 like 1","HGNC:28735","15q24.2"
"12317","ODF3L2","Approved symbol","ODF3L2","outer dense fiber of sperm tails 3 like 2","HGNC:26841","19p13.3"
"12318","ODF4","Approved symbol","ODF4","outer dense fiber of sperm tails 4","HGNC:19056","17p13.1"
"12319","ODR4","Approved symbol","ODR4","odr-4 GPCR localization factor homolog","HGNC:24299","1q31.1"
"12320","OFCC1","Approved symbol","OFCC1","orofacial cleft 1 candidate 1","HGNC:21017","6p24.3"
"12321","OFD1","Approved symbol","OFD1","OFD1 centriole and centriolar satellite protein","HGNC:2567","Xp22.2"
"12322","OGDH","Approved symbol","OGDH","oxoglutarate dehydrogenase","HGNC:8124","7p13"
"12323","OGDHL","Approved symbol","OGDHL","oxoglutarate dehydrogenase like","HGNC:25590","10q11.23"
"12324","OGFOD1","Approved symbol","OGFOD1","2-oxoglutarate and iron dependent oxygenase domain containing 1","HGNC:25585","16q13"
"12325","OGFOD2","Approved symbol","OGFOD2","2-oxoglutarate and iron dependent oxygenase domain containing 2","HGNC:25823","12q24.31"
"12326","OGFOD3","Approved symbol","OGFOD3","2-oxoglutarate and iron dependent oxygenase domain containing 3","HGNC:26174","17q25.3"
"12327","OGFR","Approved symbol","OGFR","opioid growth factor receptor","HGNC:15768","20q13.33"
"12328","OGFRL1","Approved symbol","OGFRL1","opioid growth factor receptor like 1","HGNC:21378","6q13"
"12329","OGFRP1","Approved symbol","OGFRP1","opioid growth factor receptor pseudogene 1","HGNC:50511","22q13.2"
"12330","OGG1","Approved symbol","OGG1","8-oxoguanine DNA glycosylase","HGNC:8125","3p25.3"
"12331","OGN","Approved symbol","OGN","osteoglycin","HGNC:8126","9q22.31"
"12332","OGT","Approved symbol","OGT","O-linked N-acetylglucosamine (GlcNAc) transferase","HGNC:8127","Xq13.1"
"12333","OIP5","Approved symbol","OIP5","Opa interacting protein 5","HGNC:20300","15q15.1"
"12334","OIP5-AS1","Approved symbol","OIP5-AS1","OIP5 antisense RNA 1","HGNC:43563","15q15.1"
"12335","OIT3","Approved symbol","OIT3","oncoprotein induced transcript 3","HGNC:29953","10q22.1"
"12336","OLA1","Approved symbol","OLA1","Obg like ATPase 1","HGNC:28833","2q31.1"
"12337","OLAH","Approved symbol","OLAH","oleoyl-ACP hydrolase","HGNC:25625","10p13"
"12338","OLFM1","Approved symbol","OLFM1","olfactomedin 1","HGNC:17187","9q34.3"
"12339","OLFM2","Approved symbol","OLFM2","olfactomedin 2","HGNC:17189","19p13.2"
"12340","OLFM3","Approved symbol","OLFM3","olfactomedin 3","HGNC:17990","1p21.1"
"12341","OLFM4","Approved symbol","OLFM4","olfactomedin 4","HGNC:17190","13q14.3"
"12342","OLFML1","Approved symbol","OLFML1","olfactomedin like 1","HGNC:24473","11p15.4"
"12343","OLFML2A","Approved symbol","OLFML2A","olfactomedin like 2A","HGNC:27270","9q33.3"
"12344","OLFML2B","Approved symbol","OLFML2B","olfactomedin like 2B","HGNC:24558","1q23.3"
"12345","OLFML3","Approved symbol","OLFML3","olfactomedin like 3","HGNC:24956","1p13.2"
"12346","OLIG1","Approved symbol","OLIG1","oligodendrocyte transcription factor 1","HGNC:16983","21q22.11"
"12347","OLIG2","Approved symbol","OLIG2","oligodendrocyte transcription factor 2","HGNC:9398","21q22.11"
"12348","OLIG3","Approved symbol","OLIG3","oligodendrocyte transcription factor 3","HGNC:18003","6q23.3"
"12349","OLR1","Approved symbol","OLR1","oxidized low density lipoprotein receptor 1","HGNC:8133","12p13.2"
"12350","OMA1","Approved symbol","OMA1","OMA1 zinc metallopeptidase","HGNC:29661","1p32.2-p32.1"
"12351","OMD","Approved symbol","OMD","osteomodulin","HGNC:8134","9q22.31"
"12352","OMG","Approved symbol","OMG","oligodendrocyte myelin glycoprotein","HGNC:8135","17q11.2"
"12353","OMP","Approved symbol","OMP","olfactory marker protein","HGNC:8136","11q13.5"
